raw_comp_writers_text,CLEAN_TEXT
Endo Anaconda/Balts Nill,Endo Anaconda/Balts Nill
Jessica Curry,Jessica Curry
Peter Kelly/Andy Monaghan/Jill O'Sullivan,Peter Kelly/Andy Monaghan/Jill O'Sullivan
Thomas Bergersen/Nick Phoenix,Thomas Bergersen/Nick Phoenix
Candelaria Tojin,Candelaria Tojin
传统音乐 & 李富兴,
Rob Hubbard,Rob Hubbard
Sony Assla/V. Kainth,
Salomon Hermann Mosenthal/Anton Rubinstein,Salomon Hermann Mosenthal/Anton Rubinstein
Todd Christensen,Todd Christensen
Black Menace,Black Menace
Zakir Khan Barelvi/Kishor Malhotra,Zakir Khan Barelvi/Kishor Malhotra
Danny White/Darren White/B. Trzetrzelewska,Danny White/Darren White/B. Trzetrzelewska
Skully Wit Da k & Pdg Jugg,Skully Wit Da k/Pdg Jugg
Marco Hietala/Tuomas Holopainen,Marco Hietala/Tuomas Holopainen
Deborah Lurie,Deborah Lurie
David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin,David Sheats/Antwan Patton/Earthtone III/Neal H. Pogue/Andre Benjamin
Rosbel Ruiz/David Lee Garza,Rosbel Ruiz/David Lee Garza
Arda Unverdi,Arda Unverdi
Matthijs Aukema,Matthijs Aukema
Nkosi Moyo,Nkosi Moyo
Alfredo Hays Cruz,Alfredo Hays Cruz
"Stevens IV, Quincey Hanley & Kenneth Blume III",Stevens IV/Quincey Hanley/Kenneth Blume III
Trần Tiến,
Romario Coleman,Romario Coleman
"Webb Wilder/New West Records, LLC",Webb Wilder
Sergio Kramer,Sergio Kramer
"SCELSA, GREGORY PAUL/TRADITIONAL (PD)",SCELSA/GREGORY/PAUL
C GJEDREM TORE/CA HAAVIK PETTER/CA OMAR NASRA ALI/PA OST&KJEX,GJEDREM TORE/HAAVIK PETTER/OMAR NASRA ALI/OST&KJEX
Jared Gutstadt/Jesse Siebenberg/Universal Music Publishing,Jared Gutstadt/Jesse Siebenberg
Soziedad Alkoholika,Soziedad Alkoholika
Max Forest/Veronique Culliford/Thierry Culliford/J.F. Maljean,Max Forest/Veronique Culliford/Thierry Culliford/J.F. Maljean
Veeze,Veeze
Connor Musarra,Connor Musarra
Yuno Miles,Yuno Miles
Kazuo/illrain/Leon Fanourakis,Kazuo/illrain/Leon Fanourakis
David Line/Kevin Hendrick/Charles Macleod/Caroline Banks,David Line/Kevin Hendrick/Charles Macleod/Caroline Banks
Nestor Daniel Hoyer,Nestor Daniel Hoyer
Federico Leonel Lassalle,Federico Leonel Lassalle
Derrick Dixon,Derrick Dixon
Jürgen Engler/Ralf Dörper/Lee Altus,Jürgen Engler/Ralf Dörper/Lee Altus
Hayden Buck Jones,Hayden Buck Jones
Albéric Magnard,Albéric Magnard
CA ASSATOURIAN ANDREW ROUBIK/CA MCAFEE ERIC D/CA ORROSQUIETA ERICK/PA DEORRO & DIRTY AUDIO FEAT. I-EZ,
snny,snny
Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay
WunTayk Timmy,WunTayk Timmy
Joni Mitchell,Joni Mitchell
Д.Логинов/Multiza Distribution/Ляля Размахова,
cesar pozos & alejandro coronado,cesar pozos/alejandro coronado
Bruce E. Johnson,Bruce E. Johnson
Italo Montemezzi/Sem Benelli,
Patrick Saint-Eloi,Patrick Saint-Eloi
Pete Shelley/Copyright Control,Pete Shelley
Hector Berlioz,Hector Berlioz
Bruce Fingers/Joshua Atchley/Billie Ray Fingers,Bruce Fingers/Joshua Atchley/Billie Ray Fingers
"<Unknown>/Conley, Ronald Kirstein",Conley/Ronald/Kirstein
Hiyakiporinekisesanamope Choir,Hiyakiporinekisesanamope Choir
Joe Zawinul,Joe Zawinul
Rony Ordóñez López & juan luis tzoy chic,Rony Ordóñez López/juan luis tzoy chic
André/Felipe,André/Felipe
Jon Brookes/Tim Burgess/Martin Blunt/Mark Collins/Rob Collins,
Adem Ciwan,Adem Ciwan
Hadaiyah Bey/Copyright Control,Hadaiyah Bey
Victor Spinelli,Victor Spinelli
Milos Grubor/Luka Mišnić/Pavle Jankovic/Bogdan Stojiljkovic/Bigru i Paja Kratak Label,Milos/Grubor/Luka/Mišnić/Pavle/Jankovic/Bogdan/Stojiljkovic/Bigru/i/Paja/Kratak
R. Stewart/D. Ellington,R. Stewart/D. Ellington
Elisa Lindström,Elisa Lindström
Roderick Tate/Kenneth Daniels/Shekinah Daniels/Big Headed Bros LLC/GoodVibes Productions,Roderick Tate/Kenneth Daniels/Shekinah Daniels/GoodVibes
Nguyễn Nhất Huy,
Kris Barras,Kris Barras
Giuseppe Verdi/Francesco Maria Piave,Giuseppe Verdi/Francesco Maria Piave
Shankar Prajapati,Shankar Prajapati
Tim Pagnotta,Tim Pagnotta
luiz claudio costa santanna,luiz claudio costa santanna
Malik Grimes,Malik Grimes
Pi’erre Bourne,Pi’erre Bourne
Aaron Albert Srdoc,Aaron Albert Srdoc
Reinhard Mey,Reinhard Mey
Herbert Stothart/Harold Arlen,Herbert Stothart/Harold Arlen
Alemany/Alexander de Jesus Alcalá,Alemany/Alexander de Jesus Alcalá
Gonzalo Hermosa,Gonzalo Hermosa
Olaf Dubber/Copyright Control/Alexander Grosskord,Olaf Dubber/Alexander Grosskord
Kisan Thapa/Thaneshwor Gautam,Kisan Thapa/Thaneshwor Gautam
ALFRED LLOYD CAMPBELL,ALFRED LLOYD CAMPBELL
Jemel Yarbrough & William Pope,
"Trần Trung Hiếu, Nguyễn Trần Tấn Huy, Nguyễn Phước Thành, Đặng Quang Duy & Lê Trường An",
G.F. Daumer/Howard H. Scott/Georg Friedrich Daumer,
A KING JESSE/AR HILL ROBERT/AR KING JESSE/AR PAERSSINEN TATU JOHANNES/C HILL ROBERT/PA ROBBIE HILL & THE BLUE 62S,KING/JESSE/AR/HILL/ROBERT/AR/KING/JESSE/AR/PAERSSINEN/TATU/JOHANNES/C/HILL/ROBERT/P/ROBBIE/HILL/&/THE/BLUE/62S
Simon Maguire,Simon Maguire
Björn Ulvaeus/Benny Andersson/Agnetha Fältskog/Anni-Frid Lyngstad,Björn Ulvaeus/Benny Andersson/Agnetha Fältskog/Anni-Frid Lyngstad
DANGUR ITAY,
方文山/周杰倫,
SAVANA SANTOS,SAVANA SANTOS
Masafumi Takada,Masafumi Takada
Alan Read,Alan Read
Amanda Mackinnon Palmer,Amanda Mackinnon Palmer
"Asian Doll,Big Mali",Asian Doll/Big Mali
Dennis Bonam/White Mantis Publishing/Edition Lemongrass Records,Dennis Bonam
Dorcas Cochran and Lenny Sanders/Unichapell Music Inc (BMI) (c/o Warner Chappell Music Inc),Dorcas Cochran/Lenny Sanders/c/o
